"","{""rt"":-1","""stimulus"":""dead""","""key_press"":-1","""word"":""dead""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":19","""time_elapsed"":94172","""internal_node_id"":""0.0-1.0-0.0-1.0""","""key_pressed"":""""","""correct_response"":""incorrect""}","{""rt"":762","""stimulus"":""alone""","""key_press"":77","""word"":""alone""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":21","""time_elapsed"":100146","""internal_node_id"":""0.0-1.0-0.0-3.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":779","""stimulus"":""alone""","""key_press"":67","""word"":""alone""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":23","""time_elapsed"":106136","""internal_node_id"":""0.0-1.0-0.0-5.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":872","""stimulus"":""stupid""","""key_press"":77","""word"":""stupid""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":25","""time_elapsed"":112219","""internal_node_id"":""0.0-1.0-0.0-7.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":629","""stimulus"":""paper""","""key_press"":67","""word"":""paper""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":27","""time_elapsed"":118058","""internal_node_id"":""0.0-1.0-0.0-9.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":756","""stimulus"":""paper""","""key_press"":77","""word"":""paper""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":29","""time_elapsed"":124023","""internal_node_id"":""0.0-1.0-0.0-11.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":883","""stimulus"":""happy""","""key_press"":77","""word"":""happy""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":31","""time_elapsed"":130121","""internal_node_id"":""0.0-1.0-0.0-13.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":803","""stimulus"":""success""","""key_press"":77","""word"":""success""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":33","""time_elapsed"":136132","""internal_node_id"":""0.0-1.0-0.0-15.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}]","[{""rt"":653","""stimulus"":""pleasure""","""key_press"":77","""word"":""pleasure""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":35","""time_elapsed"":141996","""internal_node_id"":""0.0-1.0-0.0-17.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":608","""stimulus"":""suicide""","""key_press"":77","""word"":""suicide""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":37","""time_elapsed"":147818","""internal_node_id"":""0.0-1.0-0.0-19.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":550","""stimulus"":""engine""","""key_press"":77","""word"":""engine""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":39","""time_elapsed"":153577","""internal_node_id"":""0.0-1.0-0.0-21.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":547","""stimulus"":""funeral""","""key_press"":67","""word"":""funeral""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":41","""time_elapsed"":159337","""internal_node_id"":""0.0-1.0-0.0-23.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":724","""stimulus"":""dead""","""key_press"":67","""word"":""dead""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":43","""time_elapsed"":165273","""internal_node_id"":""0.0-1.0-0.0-25.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":599","""stimulus"":""happy""","""key_press"":67","""word"":""happy""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":45","""time_elapsed"":171084","""internal_node_id"":""0.0-1.0-0.0-27.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":800","""stimulus"":""rejected""","""key_press"":67","""word"":""rejected""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":47","""time_elapsed"":177095","""internal_node_id"":""0.0-1.0-0.0-29.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":519","""stimulus"":""engine""","""key_press"":67","""word"":""engine""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":49","""time_elapsed"":182828","""internal_node_id"":""0.0-1.0-0.0-31.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}]","[{""rt"":571","""stimulus"":""rejected""","""key_press"":77","""word"":""rejected""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":51","""time_elapsed"":188608","""internal_node_id"":""0.0-1.0-0.0-33.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":895","""stimulus"":""museum""","""key_press"":67","""word"":""museum""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":53","""time_elapsed"":194713","""internal_node_id"":""0.0-1.0-0.0-35.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":820","""stimulus"":""museum""","""key_press"":77","""word"":""museum""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":55","""time_elapsed"":200739","""internal_node_id"":""0.0-1.0-0.0-37.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":643","""stimulus"":""success""","""key_press"":67","""word"":""success""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":57","""time_elapsed"":206591","""internal_node_id"":""0.0-1.0-0.0-39.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":572","""stimulus"":""suicide""","""key_press"":67","""word"":""suicide""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":59","""time_elapsed"":212371","""internal_node_id"":""0.0-1.0-0.0-41.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":642","""stimulus"":""stupid""","""key_press"":67","""word"":""stupid""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":61","""time_elapsed"":218222","""internal_node_id"":""0.0-1.0-0.0-43.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":613","""stimulus"":""pleasure""","""key_press"":67","""word"":""pleasure""","""color"":""red""","""block"":""test""","""block_num"":1","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":63","""time_elapsed"":224047","""internal_node_id"":""0.0-1.0-0.0-45.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":552","""stimulus"":""funeral""","""key_press"":77","""word"":""funeral""","""color"":""blue""","""block"":""test""","""block_num"":1","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":65","""time_elapsed"":229813","""internal_node_id"":""0.0-1.0-0.0-47.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":365","""stimulus"":""pleasure""","""key_press"":67","""word"":""pleasure""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":67","""time_elapsed"":235388","""internal_node_id"":""0.0-1.0-1.0-1.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}]","[{""rt"":385","""stimulus"":""stupid""","""key_press"":67","""word"":""stupid""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":69","""time_elapsed"":240985","""internal_node_id"":""0.0-1.0-1.0-3.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":456","""stimulus"":""paper""","""key_press"":77","""word"":""paper""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":71","""time_elapsed"":246650","""internal_node_id"":""0.0-1.0-1.0-5.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":487","""stimulus"":""pleasure""","""key_press"":77","""word"":""pleasure""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":73","""time_elapsed"":252347","""internal_node_id"":""0.0-1.0-1.0-7.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":498","""stimulus"":""suicide""","""key_press"":77","""word"":""suicide""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":75","""time_elapsed"":258058","""internal_node_id"":""0.0-1.0-1.0-9.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":670","""stimulus"":""engine""","""key_press"":77","""word"":""engine""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":77","""time_elapsed"":263941","""internal_node_id"":""0.0-1.0-1.0-11.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":470","""stimulus"":""stupid""","""key_press"":77","""word"":""stupid""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":79","""time_elapsed"":269620","""internal_node_id"":""0.0-1.0-1.0-13.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":585","""stimulus"":""rejected""","""key_press"":67","""word"":""rejected""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":81","""time_elapsed"":275420","""internal_node_id"":""0.0-1.0-1.0-15.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":693","""stimulus"":""alone""","""key_press"":77","""word"":""alone""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":83","""time_elapsed"":281325","""internal_node_id"":""0.0-1.0-1.0-17.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}]","[{""rt"":654","""stimulus"":""suicide""","""key_press"":77","""word"":""suicide""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":85","""time_elapsed"":287188","""internal_node_id"":""0.0-1.0-1.0-19.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""incorrect""}","{""rt"":507","""stimulus"":""funeral""","""key_press"":67","""word"":""funeral""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":87","""time_elapsed"":292903","""internal_node_id"":""0.0-1.0-1.0-21.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":489","""stimulus"":""success""","""key_press"":77","""word"":""success""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":89","""time_elapsed"":298605","""internal_node_id"":""0.0-1.0-1.0-23.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":534","""stimulus"":""alone""","""key_press"":67","""word"":""alone""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":91","""time_elapsed"":304349","""internal_node_id"":""0.0-1.0-1.0-25.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":549","""stimulus"":""happy""","""key_press"":67","""word"":""happy""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":93","""time_elapsed"":310108","""internal_node_id"":""0.0-1.0-1.0-27.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":507","""stimulus"":""success""","""key_press"":67","""word"":""success""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":95","""time_elapsed"":315824","""internal_node_id"":""0.0-1.0-1.0-29.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":544","""stimulus"":""funeral""","""key_press"":77","""word"":""funeral""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":97","""time_elapsed"":321577","""internal_node_id"":""0.0-1.0-1.0-31.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":1063","""stimulus"":""paper""","""key_press"":67","""word"":""paper""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":99","""time_elapsed"":327854","""internal_node_id"":""0.0-1.0-1.0-33.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":544","""stimulus"":""dead""","""key_press"":67","""word"":""dead""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":101","""time_elapsed"":333610","""internal_node_id"":""0.0-1.0-1.0-35.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}]","[{""rt"":520","""stimulus"":""museum""","""key_press"":67","""word"":""museum""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":103","""time_elapsed"":339344","""internal_node_id"":""0.0-1.0-1.0-37.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":531","""stimulus"":""rejected""","""key_press"":77","""word"":""rejected""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""negative""","""trial_type"":""single-stim""","""trial_index"":105","""time_elapsed"":345083","""internal_node_id"":""0.0-1.0-1.0-39.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":495","""stimulus"":""dead""","""key_press"":77","""word"":""dead""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""suicide""","""trial_type"":""single-stim""","""trial_index"":107","""time_elapsed"":350788","""internal_node_id"":""0.0-1.0-1.0-41.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":445","""stimulus"":""museum""","""key_press"":77","""word"":""museum""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":109","""time_elapsed"":356444","""internal_node_id"":""0.0-1.0-1.0-43.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":516","""stimulus"":""happy""","""key_press"":77","""word"":""happy""","""color"":""blue""","""block"":""test""","""block_num"":2","""word_type"":""positive""","""trial_type"":""single-stim""","""trial_index"":111","""time_elapsed"":362174","""internal_node_id"":""0.0-1.0-1.0-45.0""","""key_pressed"":""m""","""participant_response"":""blue""","""correct_response"":""correct""}","{""rt"":1040","""stimulus"":""engine""","""key_press"":67","""word"":""engine""","""color"":""red""","""block"":""test""","""block_num"":2","""word_type"":""neutral""","""trial_type"":""single-stim""","""trial_index"":113","""time_elapsed"":368426","""internal_node_id"":""0.0-1.0-1.0-47.0""","""key_pressed"":""c""","""participant_response"":""red""","""correct_response"":""correct""}","{""rt"":1003"
"1","1","dead","1","dead","colorblue","test","num1","typesuicide","singlestim","19","94172","00100010","ed","incorrect","762","alone","77","alone","colorblue","test","num1","typenegative","singlestim","21","100146","00100030","edm","paicipantresponseblue","correct","779","alone","67","alone","colorred","test","num1","typenegative","singlestim","23","106136","00100050","edc","paicipantresponsered","correct","872","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","25","112219","00100070","edm","paicipantresponseblue","correct","629","paper","67","paper","colorred","test","num1","typeneutral","singlestim","27","118058","00100090","edc","paicipantresponsered","correct","756","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","29","124023","001000110","edm","paicipantresponseblue","correct","883","happy","77","happy","colorblue","test","num1","typepositive","singlestim","31","130121","001000130","edm","paicipantresponseblue","correct","803","success","77","success","colorblue","test","num1","typepositive","singlestim","33","136132","001000150","edm","paicipantresponseblue","correct","653","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","35","141996","001000170","edm","paicipantresponseblue","correct","608","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","37","147818","001000190","edm","paicipantresponseblue","correct","550","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","39","153577","001000210","edm","paicipantresponseblue","correct","547","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","41","159337","001000230","edc","paicipantresponsered","correct","724","dead","67","dead","colorred","test","num1","typesuicide","singlestim","43","165273","001000250","edc","paicipantresponsered","correct","599","happy","67","happy","colorred","test","num1","typepositive","singlestim","45","171084","001000270","edc","paicipantresponsered","correct","800","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","47","177095","001000290","edc","paicipantresponsered","correct","519","engine","67","engine","colorred","test","num1","typeneutral","singlestim","49","182828","001000310","edc","paicipantresponsered","correct","571","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","51","188608","001000330","edm","paicipantresponseblue","correct","895","museum","67","museum","colorred","test","num1","typeneutral","singlestim","53","194713","001000350","edc","paicipantresponsered","correct","820","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","55","200739","001000370","edm","paicipantresponseblue","correct","643","success","67","success","colorred","test","num1","typepositive","singlestim","57","206591","001000390","edc","paicipantresponsered","correct","572","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","59","212371","001000410","edc","paicipantresponsered","correct","642","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","61","218222","001000430","edc","paicipantresponsered","correct","613","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","63","224047","001000450","edc","paicipantresponsered","correct","552","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","65","229813","001000470","edm","paicipantresponseblue","correct","365","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","67","235388","00101010","edc","paicipantresponsered","correct","385","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","69","240985","00101030","edc","paicipantresponsered","correct","456","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","71","246650","00101050","edm","paicipantresponseblue","correct","487","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","73","252347","00101070","edm","paicipantresponseblue","correct","498","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","75","258058","00101090","edm","paicipantresponseblue","correct","670","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","77","263941","001010110","edm","paicipantresponseblue","correct","470","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","79","269620","001010130","edm","paicipantresponseblue","correct","585","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","81","275420","001010150","edc","paicipantresponsered","correct","693","alone","77","alone","colorblue","test","num2","typenegative","singlestim","83","281325","001010170","edm","paicipantresponseblue","correct","654","suicide","77","suicide","colorred","test","num2","typesuicide","singlestim","85","287188","001010190","edm","paicipantresponseblue","incorrect","507","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","87","292903","001010210","edc","paicipantresponsered","correct","489","success","77","success","colorblue","test","num2","typepositive","singlestim","89","298605","001010230","edm","paicipantresponseblue","correct","534","alone","67","alone","colorred","test","num2","typenegative","singlestim","91","304349","001010250","edc","paicipantresponsered","correct","549","happy","67","happy","colorred","test","num2","typepositive","singlestim","93","310108","001010270","edc","paicipantresponsered","correct","507","success","67","success","colorred","test","num2","typepositive","singlestim","95","315824","001010290","edc","paicipantresponsered","correct","544","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","97","321577","001010310","edm","paicipantresponseblue","correct","1063","paper","67","paper","colorred","test","num2","typeneutral","singlestim","99","327854","001010330","edc","paicipantresponsered","correct","544","dead","67","dead","colorred","test","num2","typesuicide","singlestim","101","333610","001010350","edc","paicipantresponsered","correct","520","museum","67","museum","colorred","test","num2","typeneutral","singlestim","103","339344","001010370","edc","paicipantresponsered","correct","531","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","105","345083","001010390","edm","paicipantresponseblue","correct","495","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","107","350788","001010410","edm","paicipantresponseblue","correct","445","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","109","356444","001010430","edm","paicipantresponseblue","correct","516","happy","77","happy","colorblue","test","num2","typepositive","singlestim","111","362174","001010450","edm","paicipantresponseblue","correct","1040","engine","67","engine","colorred","test","num2","typeneutral","singlestim","113","368426","001010470","edc","paicipantresponsered","correct","1003"
"2","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","82962","00100010","edm","paicipantresponseblue","correct","519","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","21","88688","00100030","edm","paicipantresponseblue","correct","538","happy","67","happy","colorred","test","num1","typepositive","singlestim","23","94430","00100050","edc","paicipantresponsered","correct","490","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","25","100127","00100070","edc","paicipantresponsered","correct","473","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","27","105807","00100090","edm","paicipantresponseblue","correct","474","museum","67","museum","colorred","test","num1","typeneutral","singlestim","29","111487","001000110","edc","paicipantresponsered","correct","663","alone","77","alone","colorblue","test","num1","typenegative","singlestim","31","117355","001000130","edm","paicipantresponseblue","correct","549","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","33","123110","001000150","edc","paicipantresponsered","correct","558","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","35","128876","001000170","edc","paicipantresponsered","correct","455","success","77","success","colorblue","test","num1","typepositive","singlestim","37","134538","001000190","edm","paicipantresponseblue","correct","1","happy","1","happy","colorblue","test","num1","typepositive","singlestim","39","141743","001000210","ed","incorrect","843","paper","67","paper","colorred","test","num1","typeneutral","singlestim","41","147792","001000230","edc","paicipantresponsered","correct","1","suicide","1","suicide","colorred","test","num1","typesuicide","singlestim","43","154998","001000250","ed","incorrect","757","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","45","160963","001000270","edm","paicipantresponseblue","correct","533","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","47","166699","001000290","edm","paicipantresponseblue","correct","474","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","49","172379","001000310","edc","paicipantresponsered","correct","500","alone","67","alone","colorred","test","num1","typenegative","singlestim","51","178085","001000330","edc","paicipantresponsered","correct","754","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","53","184046","001000350","edm","paicipantresponseblue","correct","517","success","67","success","colorred","test","num1","typepositive","singlestim","55","189769","001000370","edc","paicipantresponsered","correct","470","dead","67","dead","colorred","test","num1","typesuicide","singlestim","57","195445","001000390","edc","paicipantresponsered","correct","494","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","59","201145","001000410","edm","paicipantresponseblue","correct","471","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","61","206822","001000430","edm","paicipantresponseblue","correct","882","engine","67","engine","colorred","test","num1","typeneutral","singlestim","63","212910","001000450","edc","paicipantresponsered","correct","634","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","65","218751","001000470","edm","paicipantresponseblue","correct","399","happy","67","happy","colorred","test","num2","typepositive","singlestim","67","224357","00101010","edc","paicipantresponsered","correct","658","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","230223","00101030","edc","paicipantresponsered","correct","563","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","71","235990","00101050","edm","paicipantresponseblue","correct","680","suicide","67","suicide","colorred","test","num2","typesuicide","singlestim","73","241875","00101070","edc","paicipantresponsered","correct","423","engine","67","engine","colorred","test","num2","typeneutral","singlestim","75","247504","00101090","edc","paicipantresponsered","correct","553","alone","77","alone","colorblue","test","num2","typenegative","singlestim","77","253263","001010110","edm","paicipantresponseblue","correct","439","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","79","258907","001010130","edc","paicipantresponsered","correct","786","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","81","264899","001010150","edm","paicipantresponseblue","correct","918","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","83","271022","001010170","edm","paicipantresponseblue","correct","808","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","85","277035","001010190","edc","paicipantresponsered","correct","659","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","87","282898","001010210","edm","paicipantresponseblue","correct","707","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","89","288810","001010230","edc","paicipantresponsered","correct","500","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","91","294516","001010250","edm","paicipantresponseblue","correct","843","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","93","300566","001010270","edc","paicipantresponsered","correct","710","museum","67","museum","colorred","test","num2","typeneutral","singlestim","95","306481","001010290","edc","paicipantresponsered","correct","452","alone","67","alone","colorred","test","num2","typenegative","singlestim","97","312139","001010310","edc","paicipantresponsered","correct","627","paper","67","paper","colorred","test","num2","typeneutral","singlestim","99","317972","001010330","edc","paicipantresponsered","correct","487","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","101","323667","001010350","edm","paicipantresponseblue","correct","496","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","103","329369","001010370","edm","paicipantresponseblue","correct","372","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","105","334948","001010390","edm","paicipantresponseblue","correct","394","success","77","success","colorblue","test","num2","typepositive","singlestim","107","340546","001010410","edm","paicipantresponseblue","correct","365","happy","77","happy","colorblue","test","num2","typepositive","singlestim","109","346119","001010430","edm","paicipantresponseblue","correct","440","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","111","351764","001010450","edm","paicipantresponseblue","correct","746","success","67","success","colorred","test","num2","typepositive","singlestim","113","357718","001010470","edc","paicipantresponsered","correct","1002","timeout","textTimed"
