"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"82","Subject1","typesuicide",850.833333333333,385.006217974188,1620.84576928171,80.8208973849576,1,0,12
"83","Subject10","typesuicide",1,NA,NA,NA,0,0,1
"84","Subject10","singlestim",NA,NA,NA,NA,0,0,47
"85","Subject100","typenegative",666.166666666667,246.198675623546,1158.56401791376,173.769315419575,0,0,12
"86","Subject100","typeneutral",506.75,110.024893877373,726.799787754747,286.700212245253,1,0,12
"87","Subject100","typepositive",552.833333333333,232.913106439966,1018.65954621327,87.0071204534004,1,0,12
"88","Subject100","typesuicide",569.583333333333,152.954216758618,875.49176685057,263.674899816097,1,0,12
"89","Subject101","typenegative",541.333333333333,154.369293539482,850.071920412298,232.594746254369,1,0,12
"90","Subject101","typeneutral",560.666666666667,113.289117934708,787.244902536083,334.08843079725,1,0,12
"91","Subject101","typepositive",586.583333333333,246.327372093367,1079.23807752007,93.9285891465987,1,0,12
"92","Subject101","typesuicide",535.75,111.973312567204,759.696625134408,311.803374865592,0,0,12
"93","Subject102","typenegative",371.666666666667,60.7159307136458,493.098528093958,250.234805239375,0,0,12
"94","Subject102","typeneutral",343.666666666667,46.6521622481128,436.970991162892,250.362342170441,1,0,12
"95","Subject102","typepositive",374.333333333333,79.6187887068845,533.570910747102,215.095755919564,1,0,12
"96","Subject102","typesuicide",379.5,99.2531199418024,578.006239883605,180.993760116395,1,0,12
"97","Subject103","typenegative",465.083333333333,141.398507342857,747.880348019047,182.28631864762,0,0,12
"98","Subject103","typeneutral",472.833333333333,88.7804578551479,650.394249043629,295.272417623037,0,0,12
"99","Subject103","typepositive",417.333333333333,87.7934904745048,592.920314282343,241.746352384324,1,0,12
"100","Subject103","typesuicide",454.25,111.496534801433,677.243069602867,231.256930397133,0,0,12
"101","Subject104","typenegative",467.5,62.4536191541735,592.407238308347,342.592761691653,0,0,12
"102","Subject104","typeneutral",455,94.4534517392273,643.906903478455,266.093096521545,1,0,12
"103","Subject104","typepositive",524.75,161.157813676815,847.065627353629,202.434372646371,1,0,12
"104","Subject104","typesuicide",454.25,62.9460447165233,580.142089433047,328.357910566953,1,0,12
"105","Subject105","typenegative",436.583333333333,90.5261974471613,617.635728227656,255.530938439011,1,0,12
"106","Subject105","typeneutral",461.666666666667,103.477123807705,668.620914282077,254.712419051256,1,0,12
"107","Subject105","typepositive",460.916666666667,104.699099877466,670.314866421598,251.518466911735,0,0,12
"108","Subject105","typesuicide",434.5,91.5537596666074,617.607519333215,251.392480666785,0,0,12
"109","Subject106","typenegative",456.583333333333,87.8381345361334,632.2596024056,280.907064261066,0,0,12
"110","Subject106","typeneutral",451.166666666667,79.0061370842145,609.178940835096,293.154392498238,1,0,12
"111","Subject106","typepositive",446.666666666667,142.802045652099,732.270757970865,161.062575362468,1,0,12
"112","Subject106","typesuicide",475.5,68.5797478719616,612.659495743923,338.340504256077,0,0,12
"113","Subject107","typenegative",450,67.0345907993505,584.069181598701,315.930818401299,0,0,12
"114","Subject107","typeneutral",473.333333333333,93.4454953759709,660.224324085275,286.442342581391,1,0,12
"115","Subject107","typepositive",455.25,74.7421324530975,604.734264906195,305.765735093805,1,0,12
"116","Subject107","typesuicide",520.916666666667,208.227348799044,937.371364264755,104.461969068578,1,0,12
"117","Subject108","typenegative",488.166666666667,36.9565674649023,562.079801596471,414.253531736862,0,0,12
"118","Subject108","typeneutral",482.25,73.755277160966,629.760554321932,334.739445678068,1,0,12
"119","Subject108","typepositive",510.833333333333,138.196719690929,787.226772715192,234.439893951474,0,0,12
"120","Subject108","typesuicide",513.333333333333,113.253001833251,739.839336999836,286.827329666831,1,0,12
"121","Subject109","typenegative",378.083333333333,80.1651231502639,538.413579633861,217.753087032806,0,0,12
"122","Subject109","typeneutral",418,151.423548066643,720.847096133286,115.152903866714,1,0,12
"123","Subject109","typepositive",425.166666666667,135.915637827516,696.997942321699,153.335391011634,1,0,12
"124","Subject109","typesuicide",397,75.8287544405155,548.657508881031,245.342491118969,0,0,12
"125","Subject11","typenegative",726.666666666667,360.102847261807,1446.87236119028,6.46097214305178,1,0,12
"126","Subject11","typeneutral",669.666666666667,244.838474892895,1159.34361645246,179.989716880877,1,0,12
"127","Subject11","typepositive",671.083333333333,374.037785726944,1419.15890478722,-76.9922381205542,1,0,12
"128","Subject11","typesuicide",730.5,277.850679322545,1286.20135864509,174.798641354909,1,0,12
"129","Subject110","typenegative",580.416666666667,132.18819802452,844.793062715707,316.040270617627,1,0,12
"130","Subject110","typeneutral",556.75,129.614901640485,815.979803280971,297.520196719029,0,0,12
"131","Subject110","typepositive",584.5,135.318815462528,855.137630925057,313.862369074943,1,0,12
"132","Subject110","typesuicide",520.5,63.0692260355815,646.638452071163,394.361547928837,0,1,12
"133","Subject111","typenegative",429.333333333333,89.319989957795,607.973313248923,250.693353417743,0,0,12
"134","Subject111","typeneutral",424.833333333333,108.507086767583,641.8475068685,207.819159798166,1,0,12
"135","Subject111","typepositive",457,109.778288961309,676.556577922619,237.443422077381,1,0,12
"136","Subject111","typesuicide",419.666666666667,74.5536211343381,568.773908935343,270.55942439799,0,0,12
"137","Subject112","typenegative",527.25,121.007982456455,769.265964912911,285.234035087089,1,0,12
"138","Subject112","typeneutral",NA,NA,NA,NA,0,0,12
"139","Subject112","typepositive",497.833333333333,215.771273399038,929.375880131409,66.2907865352572,0,1,12
"140","Subject112","typesuicide",538.916666666667,207.055310280011,953.027287226688,124.806046106645,0,1,12
"141","Subject113","typenegative",517.416666666667,139.33964934213,796.095965350928,238.737367982406,1,0,12
"142","Subject113","typeneutral",650.333333333333,318.118140814307,1286.56961496195,14.0970517047185,1,0,12
"143","Subject113","typepositive",507.416666666667,105.227423260577,717.87151318782,296.961820145513,1,0,12
"144","Subject113","typesuicide",512.166666666667,169.657319502007,851.481305670681,172.852027662653,1,0,12
"145","Subject114","typenegative",525.5,137.415428536973,800.330857073947,250.669142926053,1,0,12
"146","Subject114","typeneutral",596.916666666667,372.583964504728,1342.08459567612,-148.25126234279,1,0,12
"147","Subject114","typepositive",552.75,189.749176546303,932.248353092606,173.251646907394,1,0,12
"148","Subject114","typesuicide",533.333333333333,157.255052431238,847.84343819581,218.823228470857,1,0,12
"149","Subject115","typenegative",465,68.2548699561231,601.509739912246,328.490260087754,1,0,12
"150","Subject115","typeneutral",463.166666666667,90.0856494810591,643.337965628785,282.995367704548,1,0,12
"151","Subject115","typepositive",439.833333333333,64.2733273299322,568.379987993198,311.286678673469,1,0,12
"152","Subject115","typesuicide",447.333333333333,70.48833989112,588.310013115573,306.356653551093,1,0,12
"153","Subject116","typenegative",576.583333333333,301.746871139411,1180.07707561216,-26.9104089454884,1,0,12
"154","Subject116","typeneutral",614,119.671520117665,853.34304023533,374.65695976467,0,0,12
"155","Subject116","typepositive",577,132.635522459791,842.271044919583,311.728955080417,1,0,12
"156","Subject116","typesuicide",620.833333333333,412.710515612299,1446.25436455793,-204.587697891265,1,0,12
"157","Subject117","typenegative",433.333333333333,67.755353137504,568.844039608341,297.822627058325,1,0,12
"158","Subject117","typeneutral",453.75,81.6590750955125,617.068150191025,290.431849808975,0,0,12
"159","Subject117","typepositive",448.916666666667,59.7243034638532,568.365273594373,329.46805973896,1,0,12
"160","Subject117","typesuicide",513.5,126.041479463923,765.582958927846,261.417041072154,1,0,12
"161","Subject118","typenegative",540.833333333333,101.419769754076,743.672872841484,337.993793825182,1,0,12
"162","Subject118","typeneutral",501.75,88.5408226341233,678.831645268247,324.668354731753,1,0,12
"163","Subject118","typepositive",557.5,82.132376519417,721.764753038834,393.235246961166,1,0,12
"164","Subject118","typesuicide",521.333333333333,109.514078242632,740.361489818597,302.305176848069,0,0,12
"165","Subject119","typenegative",494.416666666667,165.454447635669,825.325561938004,163.507771395329,1,0,12
"166","Subject119","typeneutral",474.833333333333,164.198789350721,803.230912034775,146.435754631891,0,0,12
"167","Subject119","typepositive",519.666666666667,119.976765427412,759.620197521491,279.713135811843,0,0,12
"168","Subject119","typesuicide",492.916666666667,161.63564994559,816.187966557847,169.645366775487,0,0,12
"169","Subject12","typenegative",519.666666666667,102.354405095356,724.375476857379,314.957856475955,0,0,12
"170","Subject12","typeneutral",464.416666666667,87.707632437997,639.831931542661,289.001401790673,0,0,12
"171","Subject12","typepositive",537.166666666667,163.992146892539,865.150960451746,209.182372881588,1,0,12
"172","Subject12","typesuicide",586.916666666667,169.138167475498,925.193001617663,248.64033171567,1,0,12
"173","Subject120","typenegative",338.5,51.8941229813165,442.288245962633,234.711754037367,1,0,12
"174","Subject120","typeneutral",420.25,152.165056913388,724.580113826776,115.919886173224,1,0,12
"175","Subject120","typepositive",364.666666666667,68.9496961999152,502.566059066497,226.767274266836,0,0,12
"176","Subject120","typesuicide",373.333333333333,69.2260241834126,511.785381700158,234.881284966508,0,0,12
"177","Subject121","typenegative",517.416666666667,148.081954172395,813.580575011456,221.252758321878,1,0,12
"178","Subject121","typeneutral",595.416666666667,160.64837850147,916.713423669606,274.119909663727,1,0,12
"179","Subject121","typepositive",472.25,48.7239440857647,569.697888171529,374.802111828471,1,0,12
"180","Subject121","typesuicide",493.833333333333,83.0638673588346,659.961068051002,327.705598615664,0,0,12
"181","Subject122","typenegative",667.833333333333,190.896846649194,1049.62702663172,286.039640034944,0,0,12
"182","Subject122","typeneutral",576.25,142.009682768465,860.26936553693,292.23063446307,0,0,12
"183","Subject122","typepositive",522.666666666667,97.7848597068012,718.236386080269,327.096947253064,0,0,12
"184","Subject122","typesuicide",590.666666666667,124.20096130014,839.068589266946,342.264744066387,0,0,12
"185","Subject123","typenegative",620.583333333333,167.796661757526,956.176656848386,284.990009818281,1,0,12
"186","Subject123","typeneutral",609.25,107.536146142926,824.322292285852,394.177707714148,0,0,12
"187","Subject123","typepositive",596.416666666667,104.061571226177,804.53980911902,388.293524214314,1,0,12
"188","Subject123","typesuicide",635.083333333333,192.358783306486,1019.8008999463,250.365766720362,1,0,12
"189","Subject124","typenegative",521.083333333333,72.4311062425195,665.945545818372,376.221120848294,0,0,12
"190","Subject124","typeneutral",507.916666666667,62.7237208041356,633.364108274938,382.469225058396,0,0,12
"191","Subject124","typepositive",603.333333333333,74.2567209487505,751.846775230834,454.819891435832,0,0,12
"192","Subject124","typesuicide",599.166666666667,104.761055683297,808.68877803326,389.644555300073,1,0,12
"193","Subject125","typenegative",621.25,137.900573536944,897.051147073889,345.448852926111,0,0,12
"194","Subject125","typeneutral",743.166666666667,258.431926444974,1260.03051955662,226.302813776718,1,0,12
"195","Subject125","typepositive",701.083333333333,112.345617977685,925.774569288703,476.392097377964,0,0,12
"196","Subject125","typesuicide",691.416666666667,156.223882665716,1003.8644319981,378.968901335234,0,0,12
"197","Subject127","typenegative",717.083333333333,141.428721741142,999.940776815617,434.22588985105,1,0,12
"198","Subject127","typeneutral",833.166666666667,281.712565742052,1396.59179815077,269.741535182564,1,0,12
"199","Subject127","typepositive",844.5,257.222047690671,1358.94409538134,330.055904618658,1,0,12
"200","Subject127","typesuicide",940.583333333333,181.008015057763,1302.59936344886,578.567303217807,0,0,12
"201","Subject128","typenegative",502,127.937484733756,757.874969467512,246.125030532488,1,0,12
"202","Subject128","typeneutral",551.833333333333,174.664787174713,901.16290768276,202.503758983907,1,0,12
"203","Subject128","typepositive",440.166666666667,69.8606838752324,579.888034417131,300.445298916202,1,0,12
"204","Subject128","typesuicide",505.666666666667,82.4404284463893,670.547523559445,340.785809773888,1,0,12
"205","Subject129","typenegative",410.75,74.0320876377264,558.814175275453,262.685824724547,1,0,12
"206","Subject129","typeneutral",399.083333333333,119.525165348203,638.133664029738,160.033002636928,1,0,12
"207","Subject129","typepositive",405.416666666667,115.907061776653,637.230790219974,173.60254311336,0,0,12
"208","Subject129","typesuicide",342.416666666667,72.1720902154053,486.760847097477,198.072486235856,1,0,12
"209","Subject13","typenegative",418,92.3196029611755,602.639205922351,233.360794077649,1,0,12
"210","Subject13","typeneutral",433,82.2921624457639,597.584324891528,268.415675108472,0,0,12
"211","Subject13","typepositive",421.333333333333,87.6826232741837,596.698579881701,245.968086784966,0,0,12
"212","Subject13","typesuicide",419,63.4607967746445,545.921593549289,292.078406450711,0,0,12
"213","Subject131","typenegative",538.583333333333,137.832875306117,814.249083945567,262.9175827211,0,0,12
"214","Subject131","typeneutral",590,190.761631362284,971.523262724568,208.476737275432,1,0,12
"215","Subject131","typepositive",574.5,142.830159789362,860.160319578723,288.839680421277,1,0,12
"216","Subject131","typesuicide",594.833333333333,174.466372552177,943.766078437688,245.900588228979,0,0,12
"217","Subject132","typenegative",711.333333333333,336.200517368412,1383.73436807016,38.9322985965094,1,0,12
"218","Subject132","typeneutral",757.75,703.005512069429,2163.76102413886,-648.261024138858,0,0,12
"219","Subject132","typepositive",713,361.655536764927,1436.31107352985,-10.3110735298535,0,0,12
"220","Subject132","typesuicide",652.916666666667,490.482963902711,1633.88259447209,-328.049261138755,0,0,12
"221","Subject133","typenegative",425.083333333333,55.8316598573268,536.746653047987,313.42001361868,0,0,12
"222","Subject133","typeneutral",498.583333333333,165.280729962599,829.144793258532,168.021873408135,1,0,12
"223","Subject133","typepositive",436.416666666667,80.869657567913,598.155981802493,274.677351530841,0,1,12
"224","Subject133","typesuicide",456.5,108.557065010235,673.61413002047,239.38586997953,0,0,12
"225","Subject134","typenegative",576.083333333333,107.298613337929,790.680560009192,361.486106657475,0,0,12
"226","Subject134","typeneutral",586.583333333333,157.678302152506,901.939937638345,271.226729028321,0,0,12
"227","Subject134","typepositive",597.5,148.098554409494,893.697108818988,301.302891181012,0,0,12
"228","Subject134","typesuicide",588,184.979114300163,957.958228600326,218.041771399674,1,0,12
"229","Subject135","typenegative",427.916666666667,114.669848881143,657.256364428953,198.57696890438,1,0,12
"230","Subject135","typeneutral",365.916666666667,38.9579221336264,443.832510933919,288.000822399414,0,0,12
"231","Subject135","typepositive",406,74.3309552547989,554.661910509598,257.338089490402,1,0,12
"232","Subject135","typesuicide",394.583333333333,83.5643011353678,561.711935604069,227.454731062598,1,0,12
"233","Subject136","typenegative",558.5,145.004388648319,848.508777296638,268.491222703362,1,0,12
"234","Subject136","typeneutral",573.5,90.3372469240578,754.174493848116,392.825506151884,0,0,12
"235","Subject136","typepositive",711.416666666667,371.904303021706,1455.22527271008,-32.3919393767445,1,0,12
"236","Subject136","typesuicide",609.583333333333,179.821860504088,969.227054341508,249.939612325158,0,0,12
"237","Subject137","typenegative",760.916666666667,191.757639806716,1144.4319462801,377.401387053234,1,0,12
"238","Subject137","typeneutral",776.833333333333,365.469768264287,1507.77286986191,45.8937968047597,1,0,12
"239","Subject137","typepositive",732,210.05064324413,1152.10128648826,311.89871351174,1,0,12
"240","Subject137","typesuicide",559.5,85.6361223698589,730.772244739718,388.227755260282,0,0,12
"241","Subject138","typenegative",484.416666666667,194.40887481301,873.234416292687,95.5989170406466,1,0,12
"242","Subject138","typeneutral",508.5,169.607836439883,847.715672879766,169.284327120234,0,0,12
"243","Subject138","typepositive",499.5,130.404615088438,760.309230176876,238.690769823124,0,0,12
"244","Subject138","typesuicide",486.75,118.807808895482,724.365617790965,249.134382209035,0,0,12
"245","Subject139","typenegative",777.833333333333,333.213781591375,1444.26089651608,111.405770150584,1,0,12
"246","Subject139","typeneutral",683.083333333333,220.694959506363,1124.47325234606,241.693414320608,1,0,12
"247","Subject139","typepositive",684.416666666667,299.360669771533,1283.13800620973,85.6953271236014,0,1,12
"248","Subject139","typesuicide",724,206.351861898775,1136.70372379755,311.296276202451,1,0,12
"249","Subject14","typenegative",394.25,57.4521540066167,509.154308013233,279.345691986767,0,0,12
"250","Subject14","typeneutral",423.583333333333,94.4538928725962,612.491119078526,234.675547588141,1,0,12
"251","Subject14","typepositive",410.75,79.8932526449,570.5365052898,250.9634947102,0,0,12
"252","Subject14","typesuicide",380.5,43.0021141129342,466.504228225868,294.495771774132,1,0,12
"253","Subject140","typenegative",427.583333333333,117.552663891036,662.688661115405,192.478005551262,1,0,12
"254","Subject140","typeneutral",406.916666666667,115.719455685906,638.355578038479,175.477755294854,1,0,12
"255","Subject140","typepositive",481.5,147.724251717362,776.948503434724,186.051496565276,1,0,12
"256","Subject140","typesuicide",483.333333333333,111.319632617345,705.972598568023,260.694068098644,1,0,12
"257","Subject141","typenegative",520.5,127.772169398219,776.044338796439,264.955661203561,0,0,12
"258","Subject141","typeneutral",602.583333333333,113.634548470351,829.852430274036,375.314236392631,1,0,12
"259","Subject141","typepositive",590,127.429124685771,844.858249371542,335.141750628458,0,0,12
"260","Subject141","typesuicide",556,146.961343092789,849.922686185578,262.077313814423,0,0,12
"261","Subject142","typenegative",376.916666666667,184.118271441994,745.153209550655,8.68012378267815,0,2,12
"262","Subject142","typeneutral",430.5,106.078444387332,642.656888774665,218.343111225335,1,0,12
"263","Subject142","typepositive",345.083333333333,177.502091323574,700.087515980481,-9.92084931381481,0,0,12
"264","Subject142","typesuicide",392,202.397897940935,796.79579588187,-12.7957958818698,0,0,12
"265","Subject143","typenegative",381.833333333333,46.9716226389225,475.776578611178,287.890088055488,1,0,12
"266","Subject143","typeneutral",416.75,100.711220824693,618.172441649385,215.327558350615,1,0,12
"267","Subject143","typepositive",389.916666666667,62.437544552112,514.791755770891,265.041577562443,1,0,12
"268","Subject143","typesuicide",418.416666666667,60.9000049758668,540.2166766184,296.616656714933,0,0,12
"269","Subject144","typenegative",500.333333333333,182.828450806329,865.990234945992,134.676431720674,0,1,12
"270","Subject144","typeneutral",655.333333333333,199.253303078967,1053.83993949127,256.826727175399,1,0,12
"271","Subject144","typepositive",653.666666666667,291.128941546629,1235.92454975992,71.4087835734083,1,0,12
"272","Subject144","typesuicide",566.083333333333,164.307061948233,894.6974572298,237.469209436867,1,0,12
"273","Subject145","typenegative",529.5,112.105875281928,753.711750563857,305.288249436143,1,0,12
"274","Subject145","typeneutral",520.416666666667,128.718479519053,777.853625704773,262.97970762856,0,0,12
"275","Subject145","typepositive",521,63.1578110047292,647.315622009458,394.684377990542,0,0,12
"276","Subject145","typesuicide",542.083333333333,151.306106548242,844.695546429817,239.47112023685,1,0,12
"277","Subject146","typenegative",430.666666666667,47.5496550667794,525.765976800225,335.567356533108,1,0,12
"278","Subject146","typeneutral",422.083333333333,41.0331536317853,504.149640596904,340.017026069763,0,0,12
"279","Subject146","typepositive",429.083333333333,60.0173586001028,549.118050533539,309.048616133128,1,0,12
