"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"79","Subject117","negative",494.5,28.8501877521331,566.625469380333,422.374530619667,0,0,"Subject116","neutral",381.5,28.4897642437888,452.724410609472,310.275589390528,0,0,"Subject117","positive",426.75,24.2538656712698,487.384664178174,366.115335821826,0,0,"Subject116","suicide",411.75,60.5220345549178,563.055086387295,260.444913612705,0,0
"83","Subject118","negative",360.5,17.0977581376429,403.244395344107,317.755604655893,0,0,"Subject117","neutral",442.25,76.7045196408486,634.011299102122,250.488700897878,0,0,"Subject118","positive",360.25,16.3375844807813,401.093961201953,319.406038798047,0,0,"Subject117","suicide",463.25,100.695498078779,714.988745196947,211.511254803053,0,0
"87","Subject119","negative",325.75,28.1113855937412,396.028463984353,255.471536015647,0,0,"Subject118","neutral",367.25,12.3659478676997,398.164869669249,336.335130330751,0,0,"Subject119","positive",346.5,55.1996376799703,484.499094199926,208.500905800074,0,0,"Subject118","suicide",368.25,26.9118932815958,435.529733203989,300.970266796011,0,0
"91","Subject120","negative",299,38.5659608117487,395.414902029372,202.585097970628,0,0,"Subject119","neutral",342.75,57.6852089649793,486.963022412448,198.536977587552,0,0,"Subject120","positive",308.25,35.9386050554739,398.096512638685,218.403487361315,0,0,"Subject119","suicide",323.25,8.26135582092915,343.903389552323,302.596610447677,0,0
"95","Subject121","negative",417.75,6.5,434,401.5,0,0,"Subject120","neutral",304,28.3901391331568,374.975347832892,233.024652167108,0,0,"Subject121","positive",437,51.4910995545185,565.727748886296,308.272251113704,0,0,"Subject120","suicide",292.25,30.5655034311559,368.66375857789,215.83624142211,0,0
"99","Subject123","negative",418.5,43.8976081352959,528.24402033824,308.75597966176,0,0,"Subject121","neutral",434.75,125.00766643157,747.269166078925,122.230833921075,0,0,"Subject123","positive",430.75,43.4079485808763,539.269871452191,322.230128547809,0,0,"Subject121","suicide",440,64.4928936653747,601.232234163437,278.767765836563,0,0
"103","Subject124","negative",446.25,33.0794498140462,528.948624535115,363.551375464885,0,0,"Subject123","neutral",401.5,74.375175069822,587.437937674555,215.562062325445,0,0,"Subject124","positive",501.75,93.3180046936281,735.04501173407,268.45498826593,0,0,"Subject123","suicide",405.25,20.0893835976451,455.473458994113,355.026541005887,0,0
"107","Subject125","negative",387,86.0426250955498,602.106562738874,171.893437261126,0,0,"Subject124","neutral",595.5,213.919766890923,1130.29941722731,60.7005827726935,0,0,"Subject125","positive",455.25,74.8392722216529,642.348180554132,268.151819445868,0,0,"Subject124","suicide",555.75,169.665111322275,979.912778305688,131.587221694312,0,0
"111","Subject127","negative",459,68.200684258542,629.501710646355,288.498289353645,0,0,"Subject125","neutral",445.25,141.921046125419,800.052615313548,90.4473846864523,0,0,"Subject127","positive",473,115.795797275491,762.489493188728,183.510506811272,0,0,"Subject125","suicide",372.5,49.3254498205541,495.813624551385,249.186375448615,0,0
"115","Subject128","negative",390.75,37.5266571919216,484.566642979804,296.933357020196,0,0,"Subject127","neutral",456.75,93.6745251744927,690.936312936232,222.563687063768,0,0,"Subject128","positive",384.25,55.5600275977853,523.150068994463,245.349931005537,0,0,"Subject127","suicide",492.75,74.7947190649179,679.736797662295,305.763202337705,0,0
"119","Subject129","negative",320.25,26.849891371599,387.374728428998,253.125271571002,0,0,"Subject128","neutral",415.5,126.196936043102,730.992340107754,100.007659892246,0,0,"Subject129","positive",342.5,35.1140997321589,430.285249330397,254.714750669603,0,0,"Subject128","suicide",482.75,71.6815875940258,661.953968985065,303.546031014935,0,0
"123","Subject13","negative",388,17.3205080756888,431.301270189222,344.698729810778,0,0,"Subject129","neutral",290,21.1974841274462,342.993710318616,237.006289681385,0,0,"Subject13","positive",380.666666666667,107.188307820085,648.63743621688,112.695897116454,0,0,"Subject129","suicide",348.25,42.5940136638941,454.735034159735,241.764965840265,0,0
"127","Subject130","negative",386,22,441,331,0,0,"Subject13","neutral",375,55.1543289325507,512.885822331377,237.114177668623,0,0,"Subject130","positive",426.5,68.7095335452075,598.273833863019,254.726166136981,0,0,"Subject13","suicide",321,41.0121933088198,423.530483272049,218.469516727951,0,0
"131","Subject131","negative",396,102.192628566513,651.481571416283,140.518428583717,0,0,"Subject130","neutral",428.5,55.3684627442976,566.921156860744,290.078843139256,0,0,"Subject131","positive",442.75,57.034346377132,585.33586594283,300.16413405717,0,0,"Subject130","suicide",412.75,20.1225412576709,463.056353144177,362.443646855823,0,0
"135","Subject132","negative",514.428571428571,173.165486498568,947.342287674991,81.5148551821516,0,0,"Subject131","neutral",375,124.201449266907,685.503623167267,64.4963768327332,0,0,"Subject132","positive",475.2,71.0119708218269,652.729927054567,297.670072945433,0,0,"Subject131","suicide",370.5,47.056703383613,488.141758459032,252.858241540968,0,0
"139","Subject133","negative",288.5,25.1594912508182,351.398728127046,225.601271872954,0,0,"Subject132","neutral",907.5,313.248304065641,1690.6207601641,124.379239835899,0,0,"Subject133","positive",308,16.0208197875972,348.052049468993,267.947950531007,0,0,"Subject132","suicide",449.5,186.430505372198,915.576263430496,-16.5762634304962,0,0
"143","Subject134","negative",423.5,54.5680003909495,559.920000977374,287.079999022626,0,0,"Subject133","neutral",267.666666666667,7.09459888459759,285.403163878161,249.930169455173,0,0,"Subject134","positive",393.5,41.3884041731498,496.971010432874,290.028989567126,0,0,"Subject133","suicide",314,31.1448230047949,391.862057511987,236.137942488013,0,0
"147","Subject135","negative",462,254.061672302875,1097.15418075719,-173.154180757187,0,0,"Subject134","neutral",500.75,131.507604342867,829.519010857167,171.980989142833,0,0,"Subject135","positive",301,15.5777619273972,339.944404818493,262.055595181507,0,0,"Subject134","suicide",428,56.9092845383481,570.27321134587,285.72678865413,0,0
"151","Subject137","negative",420.75,80.3051471990847,621.512867997712,219.987132002288,0,0,"Subject135","neutral",295.25,23.4004985701872,353.751246425468,236.748753574532,0,0,"Subject137","positive",466.25,59.918694912356,616.04673728089,316.45326271911,0,0,"Subject135","suicide",325.25,29.2047370586805,398.261842646701,252.238157353299,0,0
"155","Subject138","negative",462,265.052196117419,1124.63049029355,-200.630490293547,0,0,"Subject137","neutral",414,17.606816861659,458.017042154148,369.982957845852,0,0,"Subject138","positive",340.25,24.7975133161909,402.243783290477,278.256216709523,0,0,"Subject137","suicide",371,23.0072452356499,428.518113089125,313.481886910875,0,0
"159","Subject139","negative",439.75,64.6754719091146,601.438679772786,278.061320227214,0,0,"Subject138","neutral",341.5,40.1123422402632,441.780855600658,241.219144399342,0,0,"Subject139","positive",418.75,42.7112397385044,525.528099346261,311.971900653739,0,0,"Subject138","suicide",334.25,24.1022128997872,394.505532249468,273.994467750532,0,0
"163","Subject14","negative",302.75,20.1225412576709,353.056353144177,252.443646855823,0,0,"Subject139","neutral",701.5,461.613474673346,1855.53368668337,-452.533686683365,0,0,"Subject14","positive",333,37.6297754444536,427.074438611134,238.925561388866,0,0,"Subject139","suicide",470.25,98.361154256478,716.152885641195,224.347114358805,0,0
"167","Subject140","negative",327.5,50.2045814642449,453.011453660612,201.988546339388,0,0,"Subject14","neutral",296.75,25.6043616076116,360.760904019029,232.739095980971,0,0,"Subject140","positive",360,48.7237108603193,481.809277150798,238.190722849202,0,0,"Subject14","suicide",317,39.8246155034798,416.561538758699,217.438461241301,0,0
