"","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"81","Subject108","num1","negative",496.666666666667,35.3716201940414,567.409907054749,425.923426278584,0,0,"Subject108","num2","negative",479.666666666667,36.3701509316071,552.406968529881,406.926364803453,0,0,"Subject108","num1","positive",563.333333333333,173.551843620984,910.437020575301,216.229646091366,0,0,"Subject108","num2","positive",458.333333333333,45.4179246420164,549.169182617366,367.497484049301,0,0,"Subject108","num1","suicide",541,109.627468356164,760.254936712329,321.745063287671,0,0,"Subject108","num2","suicide",485.666666666667,109.381179479115,704.429025624897,266.904307708436,0,0,"Subject108","num1","neutral",453,40.4744588374177,533.948917674835,372.051082325165,0,0,"Subject108","num2","neutral",511.5,85.8767615936825,683.253523187365,339.746476812635,2,0
"89","Subject109","num1","negative",370.666666666667,73.0246948682845,516.716056403236,224.617276930098,0,0,"Subject109","num2","negative",416,53.3208318681462,522.641663736292,309.358336263708,0,0,"Subject109","num1","positive",374.166666666667,62.255826063011,498.678318792689,249.655014540645,0,0,"Subject109","num2","positive",476.166666666667,165.515631414148,807.197929494964,145.13540383837,2,0,"Subject109","num1","suicide",375.333333333333,82.2892164959368,539.911766325207,210.75490034146,0,0,"Subject109","num2","suicide",418.666666666667,60.8624878249519,540.391642316571,296.941691016763,2,0,"Subject109","num1","neutral",435.333333333333,177.902595071948,791.138523477228,79.5281431894383,2,0,"Subject109","num2","neutral",352.8,35.9221380210031,424.644276042006,280.955723957994,0,0
"97","Subject11","num1","negative",832.833333333333,474.209166226607,1781.25166578655,-115.58499911988,0,0,"Subject11","num2","negative",620.5,99.4068773914927,819.313754782985,421.686245217015,0,0,"Subject11","num1","positive",758.333333333333,495.71937320393,1749.77207974119,-233.105413074526,2,0,"Subject11","num2","positive",583.833333333333,132.142370421474,848.118074176281,319.548592490385,0,0,"Subject11","num1","suicide",799.5,369.535703773852,1538.5714075477,60.4285924522953,0,0,"Subject11","num2","suicide",661.5,86.3581337959967,834.216267591994,488.783732408007,0,0,"Subject11","num1","neutral",710.333333333333,301.979931101189,1314.29319553571,106.373471130956,2,0,"Subject11","num2","neutral",629,158.403397576051,945.806795152101,312.193204847899,0,0
"105","Subject110","num1","negative",583.166666666667,152.287308211894,887.741283090454,278.59205024288,2,0,"Subject110","num2","negative",577.666666666667,108.349043149975,794.364752966617,360.968580366717,0,0,"Subject110","num1","positive",587,66.1430955649121,719.286191129824,454.713808870176,0,0,"Subject110","num2","positive",582,179.537790400289,941.075580800578,222.924419199422,2,0,"Subject110","num1","suicide",540.333333333333,50.8676238044903,642.068580942314,438.598085724353,0,0,"Subject110","num2","suicide",500.666666666667,67.1542773745423,634.975221415751,366.358111917582,0,0,"Subject110","num1","neutral",528.833333333333,140.922179255292,810.677691843917,246.98897482275,0,0,"Subject110","num2","neutral",584.666666666667,109.729695436587,804.12605753984,365.207275793493,0,0
"113","Subject111","num1","negative",416.166666666667,64.8113813424398,545.789429351546,286.543903981787,0,0,"Subject111","num2","negative",410.25,104.097138700899,618.444277401799,202.055722598201,0,0,"Subject111","num1","positive",462.833333333333,82.9664042997179,628.766141932769,296.900524733898,0,0,"Subject111","num2","positive",451.166666666667,130.938454198447,713.043575063561,189.289758269773,0,0,"Subject111","num1","suicide",387,68.2576817003853,523.515363400771,250.484636599229,0,0,"Subject111","num2","suicide",423.166666666667,51.3576290399592,525.881924746585,320.451408586748,2,0,"Subject111","num1","neutral",383.5,70.4033831831707,524.306766366341,242.693233633659,0,0,"Subject111","num2","neutral",466.166666666667,121.915643960996,709.997954588658,222.335378744675,0,0
"121","Subject112","num1","negative",758.582210242588,201.699054940152,1161.98032012289,355.184100362285,15,0,"Subject112","num2","negative",744.900552486188,192.316930396534,1129.53441327926,360.266691693119,19,0,"Subject112","num1","positive",758.807894736842,224.318851564152,1207.44559786515,310.170191608538,19,2,"Subject112","num2","positive",740.382183908046,185.526031245128,1111.4342463983,369.330121417789,20,2,"Subject112","num1","suicide",781.962864721485,208.542673066315,1199.04821085412,364.877518588856,18,0,"Subject112","num2","suicide",749.719887955182,182.77846224504,1115.27681244526,384.162963465102,16,0,"Subject112","num1","neutral",772.800524934383,198.975407366252,1170.75133966689,374.84971020188,20,0,"Subject112","num2","neutral",754.652421652422,193.534667218944,1141.72175609031,367.583087214534,18,0
"129","Subject113","num1","negative",560.5,164.620500214612,889.741000429224,231.258999570776,2,0,"Subject113","num2","negative",474.333333333333,87.6432161284222,649.619765590178,299.046901076489,0,0,"Subject113","num1","positive",472.833333333333,64.3779088780861,601.589151089505,344.077515577161,0,0,"Subject113","num2","positive",542,124.063033832147,790.126067664293,293.873932335707,0,0,"Subject113","num1","suicide",529.166666666667,222.701117821146,974.568902308958,83.764431024375,2,0,"Subject113","num2","suicide",495.166666666667,85.6789284939931,666.524523654653,323.80880967868,0,0,"Subject113","num1","neutral",750.5,394.568924731328,1539.63784946266,-38.6378494626559,2,0,"Subject113","num2","neutral",550.166666666667,157.552203950617,865.271074567902,235.062258765432,0,0
"137","Subject114","num1","negative",589,149.70516478611,888.41032957222,289.58967042778,0,0,"Subject114","num2","negative",462,80.9736208448608,623.947241689722,300.052758310278,0,0,"Subject114","num1","positive",582.333333333333,219.249684703135,1020.8327027396,143.833963927063,0,0,"Subject114","num2","positive",523.166666666667,148.42373819779,820.014143062246,226.319190271087,0,0,"Subject114","num1","suicide",627.666666666667,161.212075643648,950.090817953963,305.24251537937,0,0,"Subject114","num2","suicide",439,63.6667459939217,566.333491987843,311.666508012157,0,0,"Subject114","num1","neutral",748,475.433582016553,1698.86716403311,-202.867164033107,2,0,"Subject114","num2","neutral",445.833333333333,42.4024727695178,530.638278872369,361.028387794298,0,0
"145","Subject115","num1","negative",481.666666666667,77.3390802462334,636.344827159134,326.9885061742,0,0,"Subject115","num2","negative",448.333333333333,52.2499818761749,552.833297085683,343.833369580984,0,0,"Subject115","num1","positive",424.666666666667,45.3097086392055,515.286083945078,334.047249388256,0,0,"Subject115","num2","positive",455,75.5464938119085,606.092987623817,303.907012376183,0,0,"Subject115","num1","suicide",438.833333333333,49.8230201145347,538.479373562403,339.187293104264,0,0,"Subject115","num2","suicide",455.833333333333,85.4238984373953,626.681130208124,284.985536458543,0,0,"Subject115","num1","neutral",467.666666666667,53.0614280953232,573.789522857313,361.54381047602,0,0,"Subject115","num2","neutral",458.666666666667,115.633695414233,689.934057495132,227.399275838202,2,0
"153","Subject116","num1","negative",656.333333333333,319.969127298623,1296.27158793058,16.3950787360873,2,0,"Subject116","num2","negative",596,122.138355064156,840.276710128311,351.723289871689,0,0,"Subject116","num1","positive",519,66.1403466466986,651.280693293397,386.719306706603,0,0,"Subject116","num2","positive",635,153.199810111442,941.399620222884,328.600379777116,0,0,"Subject116","num1","suicide",765.166666666667,474.603151606847,1714.37296988036,-184.039636547027,2,0,"Subject116","num2","suicide",571.6,158.786509362589,889.173018725178,254.026981274822,0,0,"Subject116","num1","neutral",645.333333333333,133.876016817008,913.08536696735,377.581299699317,0,0,"Subject116","num2","neutral",582.666666666667,92.6158570100011,767.898380686669,397.434952646664,2,0
"161","Subject117","num1","negative",437.5,72.1103951653927,581.720790330785,293.279209669215,2,0,"Subject117","num2","negative",429.166666666667,62.7995850208254,554.765836708317,303.567496625016,2,0,"Subject117","num1","positive",469.166666666667,70.8016863349934,610.770039336653,327.56329399668,0,0,"Subject117","num2","positive",428.666666666667,35.0203404098853,498.707347486437,358.625985846896,0,0,"Subject117","num1","suicide",464,22.2056503865775,508.411300773155,419.588699226845,0,0,"Subject117","num2","suicide",563,161.039803097924,885.079606195848,240.920393804152,0,0,"Subject117","num1","neutral",477.833333333333,77.1289750215753,632.091283376484,323.575383290183,0,0,"Subject117","num2","neutral",429.666666666667,78.2435978598927,586.153862386452,273.179470946881,2,0
"169","Subject118","num1","negative",576.833333333333,117.050753042767,810.934839418867,342.7318272478,0,0,"Subject118","num2","negative",504.833333333333,63.5879252879369,632.009183909207,377.65748275746,0,0,"Subject118","num1","positive",533.166666666667,57.205901369659,647.578469405985,418.754863927349,0,0,"Subject118","num2","positive",581.833333333333,94.4831233928081,770.79958011895,392.867086547717,0,0,"Subject118","num1","suicide",539.5,110.356035383003,760.212070766005,318.787929233995,0,0,"Subject118","num2","suicide",503.166666666667,105.300292094331,713.76725085533,292.566082478004,0,0,"Subject118","num1","neutral",482.5,107.822665858006,698.145331716013,266.854668283987,0,0,"Subject118","num2","neutral",521,56.9625076056811,634.925015211362,407.074984788638,0,0
"177","Subject119","num1","negative",482.5,146.17517510912,774.85035021824,190.149649781761,2,0,"Subject119","num2","negative",506.333333333333,181.860752592013,870.054838517359,142.611828149307,2,0,"Subject119","num1","positive",460.5,57.1338142195384,574.767628439077,346.232371560923,0,0,"Subject119","num2","positive",554.2,133.477255657201,821.154511314402,287.245488685598,0,0,"Subject119","num1","suicide",499.333333333333,148.117479990675,795.568293314682,203.098373351984,0,0,"Subject119","num2","suicide",486.5,173.849203203654,834.198406407308,138.801593592692,0,0,"Subject119","num1","neutral",477.166666666667,161.336933343255,799.840533353178,154.492799980156,0,0,"Subject119","num2","neutral",472.5,166.976046186272,806.452092372544,138.547907627456,0,0
